neptune seq length/score graph by kmer
k = 10
,length,score

k = 13
,length,score

k = 16
,length,score
2.380,0.9940,166
2.207,0.9886,142
2.226,0.9858,148
4.225,0.9823,80
2.392,0.9819,84
2.375,0.9769,65
2.210,0.9765,149
3.313,0.9760,66
2.383,0.9754,65
1.13,0.9725,138
2.237,0.9714,117
3.303,0.9703,79
0.39,0.9695,82
0.323,0.9687,72
4.36,0.9683,71
2.390,0.9663,156
2.202,0.9653,72
2.238,0.9651,73
0.53,0.9642,67
1.62,0.9640,69
4.37,0.9631,65
5.9,0.9616,79
2.154,0.9599,98
3.238,0.9560,64
0.59,0.9559,91
3.153,0.9556,65
4.306,0.9542,91
0.16,0.9540,88
4.318,0.9537,95
4.146,0.9533,66
4.38,0.9519,77
5.128,0.9515,79
2.151,0.9509,78
2.357,0.9494,78
4.23,0.9487,79
0.265,0.9474,97
3.230,0.9470,67
2.102,0.9470,67
4.148,0.9430,95
4.294,0.9430,103
2.235,0.9408,74
2.376,0.9402,110
2.189,0.9391,86
2.371,0.9387,65
0.410,0.9384,99
4.326,0.9371,70
2.379,0.9360,108
2.205,0.9352,72
4.137,0.9350,78
2.126,0.9341,130
2.209,0.9338,66
2.225,0.9333,87
0.437,0.9326,110
1.333,0.9320,75
4.143,0.9316,123
2.389,0.9315,84
4.258,0.9292,88
1.370,0.9285,107
3.304,0.9266,79
5.82,0.9247,83
2.230,0.9244,78
4.138,0.9243,134
3.226,0.9221,102
0.145,0.9214,98
4.0,0.9214,78
5.124,0.9188,70
2.67,0.9176,75
4.39,0.9169,65
4.144,0.9159,66
4.177,0.9152,80
4.24,0.9151,87
4.256,0.9148,118
1.195,0.9135,121
3.152,0.9128,77
2.388,0.9127,105
5.68,0.9115,74
3.225,0.9113,81
5.233,0.9105,111
2.148,0.9102,151
5.121,0.9087,75
5.200,0.9087,67
1.11,0.9083,84
0.15,0.9071,85
2.68,0.9066,76
4.135,0.9050,94
5.125,0.9046,105
1.277,0.9042,75
1.279,0.9041,74
4.214,0.9023,66
2.396,0.9021,71
4.359,0.9018,104
1.141,0.9016,124
4.253,0.9013,126
2.104,0.9012,86
3.149,0.9004,117
2.385,0.9000,70
2.342,0.8995,110
2.200,0.8994,77
0.277,0.8991,94
4.73,0.8988,96
2.259,0.8988,72
2.103,0.8987,75
