"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"mreC","","rod shape-determining protein MreC","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680602.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225296.1","","small multi-drug export protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681585.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_224102977.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680625.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"group_1605","","S24 family peptidase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680647.1","","glucosaminidase domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607889.1","","cyclic nucleotide-binding domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680664.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680689.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"secE","","preprotein translocase subunit SecE","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"yidD","","membrane protein insertion efficiency factor YidD","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"rsmG","","16S rRNA (guanine(527)-N(7))-methyltransferase RsmG","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_230772667.1","","LOG family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621221.1","","YSIRK-type signal peptide-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621230.1","","polysaccharide deacetylase family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621251.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680851.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680852.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608090.1","","nucleoside phosphorylase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002950088.1","","alanine dehydrogenase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_023909504.1","","peptidase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680963.1","","PspC domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"hprK","","HPr(Ser) kinase/phosphatase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002946001.1","","YtxH domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608145.1","","biotin transporter BioY","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608146.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014727397.1","","histidine phosphatase family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608177.1","","cell division protein SepF","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608181.1","","bifunctional oligoribonuclease/PAP phosphatase NrnA","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621429.1","","lysozyme family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014727423.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011227098.1","","MerR family transcriptional regulator","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002950490.1","","class I SAM-dependent methyltransferase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608216.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608250.1","","ECF transporter S component","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608257.1","","membrane protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608258.1","","HAMP domain-containing histidine kinase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681089.1","","rhodanese-like domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225902.1","","Fe-S oxidoreductase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002947897.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608272.1","","HAD hydrolase-like protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_228874294.1","","ABC transporter substrate-binding protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621555.1","","peptide MFS transporter","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002947218.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_080998420.1","","substrate-binding domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681159.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608363.1","","GNAT family N-acetyltransferase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002950961.1","","DUF4649 family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608413.1","","SGNH/GDSL hydrolase family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_162465556.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024704260.1","","DUF1002 domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014727583.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002951148.1","","GNAT family N-acetyltransferase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024704287.1","","sensor histidine kinase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621765.1","","DUF1275 domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681370.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011226258.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681379.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681412.1","","HAD family hydrolase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681419.1","","peptide ABC transporter substrate-binding protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024703945.1","","gamma-glutamyl-gamma-aminobutyrate hydrolase family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608586.1","","GyrI-like domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681522.1","","chorismate mutase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"group_1771","","IS3 family transposase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681529.1","","ABC transporter permease","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608639.1","","DMT family transporter","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"msrA","","peptide-methionine (S)-S-oxide reductase MsrA","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621911.1","","DUF4059 family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681555.1","","carbonic anhydrase family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011226477.1","","plasmid recombination protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002948869.1","","LytTR family DNA-binding domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_224107502.1","","ATP-binding protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
