,Probiotic
N00000_ST_s0001302_u0001302_genomic_gff,0
N00001_ST_s0001304_u0001304_genomic_gff,0
N00002_ST_s0001308_u0001308_genomic_gff,1
N00003_ST_s0001308_u0001308_genomic_gff,1
N00004_ST_s0001308_u0001308_genomic_gff,1
N00005_ST_s0001308_u0001308_genomic_gff,1
N00006_ST_s0001308_u0001308_genomic_gff,1
N00139_ST_s0001308_u0001308_genomic_gff,1
N00162_ST_s0001309_u0001309_genomic_gff,0
N00163_ST_s0001310_u0001310_genomic_gff,0
N00164_ST_s0001311_u0001311_genomic_gff,0
N00165_ST_s0001313_u0001313_genomic_gff,0
N00166_ST_s0001314_u0001314_genomic_gff,0
N00167_ST_s0001318_u0001318_genomic_gff,0
N00168_ST_s0001326_u0001326_genomic_gff,0
N00169_ST_s0001329_u0001329_genomic_gff,0
N00170_ST_s0001333_u0001333_genomic_gff,0
N00171_ST_s0001335_u0001335_genomic_gff,0
N00172_ST_s0001337_u0001337_genomic_gff,0
N00173_ST_s0001340_u0001340_genomic_gff,0
N00174_ST_s0001341_u0001341_genomic_gff,0
N00175_ST_s0001343_u0001343_genomic_gff,0
N00176_ST_s0001345_u0001345_genomic_gff,0
N00177_ST_s0001348_u0001348_genomic_gff,0
N00178_ST_s0001349_u0001349_genomic_gff,0
N00179_ST_s0028037_u0028037_genomic_gff,0
