"","repgenome","leng","LTgroup"
"1","N07860_LC_s0047715_u0047715_fna",79,"N07718_LC_s0047715_u0047715_fna,N07875_LC_s0047715_u0047715_fna,N07811_LC_s0047715_u0047715_fna,N07767_LC_s0047715_u0047715_fna,N10191_LC_s0047715_u1088720_fna,N07716_LC_s0047715_u0047715_fna,N07709_LC_s0047715_u0047715_fna,N07869_LC_s0047715_u0047715_fna,N07837_LC_s0047715_u0047715_fna,N07826_LC_s0047715_u0047715_fna,N10970_LC_s0047715_u1423797_fna,N07756_LC_s0047715_u0047715_fna,N07731_LC_s0047715_u0047715_fna,N07759_LC_s0047715_u0047715_fna,N07810_LC_s0047715_u0047715_fna,N07857_LC_s0047715_u0047715_fna,N07815_LC_s0047715_u0047715_fna,N07764_LC_s0047715_u0047715_fna,N09984_LC_s0047715_u0525361_fna,N07802_LC_s0047715_u0047715_fna,N07776_LC_s0047715_u0047715_fna,N07833_LC_s0047715_u0047715_fna,N07745_LC_s0047715_u0047715_fna,N07782_LC_s0047715_u0047715_fna,N07832_LC_s0047715_u0047715_fna,N07710_LC_s0047715_u0047715_fna,N07831_LC_s0047715_u0047715_fna,N07809_LC_s0047715_u0047715_fna,N10789_LC_s0047715_u1318634_fna,N07834_LC_s0047715_u0047715_fna,N07814_LC_s0047715_u0047715_fna,N10899_LC_s0047715_u1408180_fna,N07733_LC_s0047715_u0047715_fna,N07870_LC_s0047715_u0047715_fna,N07746_LC_s0047715_u0047715_fna,N07706_LC_s0047715_u0047715_fna,N07871_LC_s0047715_u0047715_fna,N07816_LC_s0047715_u0047715_fna,N07817_LC_s0047715_u0047715_fna,N07829_LC_s0047715_u0047715_fna,N07785_LC_s0047715_u0047715_fna,N07860_LC_s0047715_u0047715_fna,N07728_LC_s0047715_u0047715_fna,N10190_LC_s0047715_u1078018_fna,N07818_LC_s0047715_u0047715_fna,N07841_LC_s0047715_u0047715_fna,N07862_LC_s0047715_u0047715_fna,N07778_LC_s0047715_u0047715_fna,N07820_LC_s0047715_u0047715_fna,N07790_LC_s0047715_u0047715_fna,N07741_LC_s0047715_u0047715_fna,N07840_LC_s0047715_u0047715_fna,N07719_LC_s0047715_u0047715_fna,N07713_LC_s0047715_u0047715_fna,N07830_LC_s0047715_u0047715_fna,N07874_LC_s0047715_u0047715_fna,N07793_LC_s0047715_u0047715_fna,N10969_LC_s0047715_u1423797_fna,N07729_LC_s0047715_u0047715_fna,N07791_LC_s0047715_u0047715_fna,N07852_LC_s0047715_u0047715_fna,N07788_LC_s0047715_u0047715_fna,N07825_LC_s0047715_u0047715_fna,N07873_LC_s0047715_u0047715_fna,N07722_LC_s0047715_u0047715_fna,N10051_LC_s0047715_u0568704_fna,N07792_LC_s0047715_u0047715_fna,N07824_LC_s0047715_u0047715_fna,N07827_LC_s0047715_u0047715_fna,N07868_LC_s0047715_u0047715_fna,N07828_LC_s0047715_u0047715_fna,N07786_LC_s0047715_u0047715_fna,N07754_LC_s0047715_u0047715_fna,N07801_LC_s0047715_u0047715_fna,N07779_LC_s0047715_u0047715_fna,N07819_LC_s0047715_u0047715_fna,N07858_LC_s0047715_u0047715_fna,N07859_LC_s0047715_u0047715_fna,N07812_LC_s0047715_u0047715_fna,"
"2","N06089_LC_s0001597_u0001597_fna",26,"N05984_LC_s0001597_u0001597_fna,N05978_LC_s0001597_u0001597_fna,N06009_LC_s0001597_u0001597_fna,N05979_LC_s0001597_u0001597_fna,N06083_LC_s0001597_u0001597_fna,N06115_LC_s0001597_u0001597_fna,N06082_LC_s0001597_u0001597_fna,N06089_LC_s0001597_u0001597_fna,N05997_LC_s0001597_u0001597_fna,N06049_LC_s0001597_u0001597_fna,N06118_LC_s0001597_u0001597_fna,N05023_LC_s0001582_u0001582_fna,N06062_LC_s0001597_u0001597_fna,N06038_LC_s0001597_u0001597_fna,N06100_LC_s0001597_u0001597_fna,N11413_LC_s0001597_u1256212_fna,N09843_LC_s0001597_u0113557_fna,N06099_LC_s0001597_u0001597_fna,N06108_LC_s0001597_u0001597_fna,N09844_LC_s0001597_u0113557_fna,N06065_LC_s0001597_u0001597_fna,N05026_LC_s0001582_u0001582_fna,N06075_LC_s0001597_u0001597_fna,N06064_LC_s0001597_u0001597_fna,N05973_LC_s0001597_u0001597_fna,N06051_LC_s0001597_u0001597_fna,"
"3","N06055_LC_s0001597_u0001597_fna",8,"N06071_LC_s0001597_u0001597_fna,N06030_LC_s0001597_u0001597_fna,N06069_LC_s0001597_u0001597_fna,N06107_LC_s0001597_u0001597_fna,N06055_LC_s0001597_u0001597_fna,N06072_LC_s0001597_u0001597_fna,N06070_LC_s0001597_u0001597_fna,N06092_LC_s0001597_u0001597_fna,"
"4","N06032_LC_s0001597_u0001597_fna",1,"N06032_LC_s0001597_u0001597_fna"
"5","N10978_LC_s0381741_u1423810_fna",2,"N10977_LC_s0381741_u1423810_fna,N10978_LC_s0381741_u1423810_fna,"
"6","N05952_LC_s0001597_u0001597_fna",27,"N05951_LC_s0001597_u0001597_fna,N11412_LC_s0001597_u1256210_fna,N06061_LC_s0001597_u0001597_fna,N05014_LC_s0001582_u0001582_fna,N11414_LC_s0001597_u1256213_fna,N06114_LC_s0001597_u0001597_fna,N05994_LC_s0001597_u0001597_fna,N06060_LC_s0001597_u0001597_fna,N06078_LC_s0001597_u0001597_fna,N06063_LC_s0001597_u0001597_fna,N11410_LC_s0001597_u1256203_fna,N05960_LC_s0001597_u0001597_fna,N10711_LC_s0001597_u1226299_fna,N06037_LC_s0001597_u0001597_fna,N11424_LC_s0001597_u1256226_fna,N06080_LC_s0001597_u0001597_fna,N05958_LC_s0001597_u0001597_fna,N06093_LC_s0001597_u0001597_fna,N05015_LC_s0001582_u0001582_fna,N11415_LC_s0001597_u1256216_fna,N06111_LC_s0001597_u0001597_fna,N05950_LC_s0001597_u0001597_fna,N05952_LC_s0001597_u0001597_fna,N06066_LC_s0001597_u0001597_fna,N11422_LC_s0001597_u1256224_fna,N06040_LC_s0001597_u0001597_fna,N09838_LC_s0001597_u0113557_fna,"
"7","N11348_LC_s0001597_u0525337_fna",14,"N05974_LC_s0001597_u0001597_fna,N09816_LC_s0001597_u0047714_fna,N09812_LC_s0001597_u0047714_fna,N09817_LC_s0001597_u0047714_fna,N11348_LC_s0001597_u0525337_fna,N06045_LC_s0001597_u0001597_fna,N05965_LC_s0001597_u0001597_fna,N06084_LC_s0001597_u0001597_fna,N11349_LC_s0001597_u0525337_fna,N06020_LC_s0001597_u0001597_fna,N11028_LC_s0001597_u1446494_fna,N06050_LC_s0001597_u0001597_fna,N06021_LC_s0001597_u0001597_fna,N11416_LC_s0001597_u1256218_fna,"
"8","N11423_LC_s0001597_u1256225_fna",4,"N06103_LC_s0001597_u0001597_fna,N11423_LC_s0001597_u1256225_fna,N09842_LC_s0001597_u0113557_fna,N06102_LC_s0001597_u0001597_fna,"
"9","N10841_LC_s0047715_u1390384_fna",2,"N10840_LC_s0047715_u1390383_fna,N10841_LC_s0047715_u1390384_fna,"
"10","N10996_LC_s0001597_u1435038_fna",1,"N10996_LC_s0001597_u1435038_fna"
