"","repgenome","leng","LTgroup"
"1","N06405_LS_s0001598_u0001598_fna",13,"N06405_LS_s0001598_u0001598_fna,N06367_LS_s0001598_u0001598_fna,N06136_LS_s0001598_u0001598_fna,N09983_LS_s0001598_u0525341_fna,N06366_LS_s0001598_u0001598_fna,N09956_LS_s0001598_u0491077_fna,N06404_LS_s0001598_u0001598_fna,N06139_LS_s0001598_u0001598_fna,N06402_LS_s0001598_u0001598_fna,N06292_LS_s0001598_u0001598_fna,N06378_LS_s0001598_u0001598_fna,N06297_LS_s0001598_u0001598_fna,N06364_LS_s0001598_u0001598_fna,"
"2","N06170_LS_s0001598_u0001598_fna",10,"N06163_LS_s0001598_u0001598_fna,N06161_LS_s0001598_u0001598_fna,N06179_LS_s0001598_u0001598_fna,N06165_LS_s0001598_u0001598_fna,N06164_LS_s0001598_u0001598_fna,N06169_LS_s0001598_u0001598_fna,N06170_LS_s0001598_u0001598_fna,N06173_LS_s0001598_u0001598_fna,N06175_LS_s0001598_u0001598_fna,N06159_LS_s0001598_u0001598_fna,"
"3","N06543_LS_s0001613_u0001613_fna",3,"N06520_LS_s0001613_u0001613_fna,N06541_LS_s0001613_u0001613_fna,N06543_LS_s0001613_u0001613_fna,"
"4","N06535_LS_s0001613_u0001613_fna",2,"N06564_LS_s0001613_u0001613_fna,N06535_LS_s0001613_u0001613_fna,"
"5","N06332_LS_s0001598_u0001598_fna",8,"N06330_LS_s0001598_u0001598_fna,N06360_LS_s0001598_u0001598_fna,N06333_LS_s0001598_u0001598_fna,N06346_LS_s0001598_u0001598_fna,N06332_LS_s0001598_u0001598_fna,N06353_LS_s0001598_u0001598_fna,N06354_LS_s0001598_u0001598_fna,N06311_LS_s0001598_u0001598_fna,"
"6","N06400_LS_s0001598_u0001598_fna",22,"N06197_LS_s0001598_u0001598_fna,N06370_LS_s0001598_u0001598_fna,N10004_LS_s0001598_u0557436_fna,N06223_LS_s0001598_u0001598_fna,N10063_LS_s0001598_u0585517_fna,N06291_LS_s0001598_u0001598_fna,N06123_LS_s0001598_u0001598_fna,N06232_LS_s0001598_u0001598_fna,N06196_LS_s0001598_u0001598_fna,N06374_LS_s0001598_u0001598_fna,N06401_LS_s0001598_u0001598_fna,N11357_LS_s0001598_u0557433_fna,N06411_LS_s0001598_u0001598_fna,N10000_LS_s0001598_u0548485_fna,N06125_LS_s0001598_u0001598_fna,N06224_LS_s0001598_u0001598_fna,N06373_LS_s0001598_u0001598_fna,N06403_LS_s0001598_u0001598_fna,N10003_LS_s0001598_u0557436_fna,N06369_LS_s0001598_u0001598_fna,N06400_LS_s0001598_u0001598_fna,N06371_LS_s0001598_u0001598_fna,"
"7","N06261_LS_s0001598_u0001598_fna",2,"N06260_LS_s0001598_u0001598_fna,N06261_LS_s0001598_u0001598_fna,"
"8","N09056_LS_s1769424_u1769424_fna",3,"N06259_LS_s0001598_u0001598_fna,N09056_LS_s1769424_u1769424_fna,N09055_LS_s1769424_u1769424_fna,"
"9","N06290_LS_s0001598_u0001598_fna",3,"N06393_LS_s0001598_u0001598_fna,N06395_LS_s0001598_u0001598_fna,N06290_LS_s0001598_u0001598_fna,"
"10","N06351_LS_s0001598_u0001598_fna",2,"N06304_LS_s0001598_u0001598_fna,N06351_LS_s0001598_u0001598_fna,"
"11","N10980_LS_s0001633_u1423814_fna",3,"N10979_LS_s0001633_u1423814_fna,N06855_LS_s0001633_u0001633_fna,N10980_LS_s0001633_u1423814_fna,"
"12","N06317_LS_s0001598_u0001598_fna",1,"N06317_LS_s0001598_u0001598_fna"
"13","N06262_LS_s0001598_u0001598_fna",2,"N06408_LS_s0001598_u0001598_fna,N06262_LS_s0001598_u0001598_fna,"
"14","N06135_LS_s0001598_u0001598_fna",1,"N06135_LS_s0001598_u0001598_fna"
"15","N06858_LS_s0001633_u0001633_fna",6,"N06857_LS_s0001633_u0001633_fna,N06861_LS_s0001633_u0001633_fna,N06860_LS_s0001633_u0001633_fna,N06858_LS_s0001633_u0001633_fna,N06856_LS_s0001633_u0001633_fna,N06859_LS_s0001633_u0001633_fna,"
"16","N08384_LS_s0097478_u0097478_fna",1,"N08384_LS_s0097478_u0097478_fna"
"17","N06288_LS_s0001598_u0001598_fna",1,"N06288_LS_s0001598_u0001598_fna"
"18","N06265_LS_s0001598_u0001598_fna",1,"N06265_LS_s0001598_u0001598_fna"
"19","N06299_LS_s0001598_u0001598_fna",1,"N06299_LS_s0001598_u0001598_fna"
"20","N06410_LS_s0001598_u0001598_fna",2,"N06273_LS_s0001598_u0001598_fna,N06410_LS_s0001598_u0001598_fna,"
"21","N10955_LS_s0097478_u1423771_fna",2,"N08386_LS_s0097478_u0097478_fna,N10955_LS_s0097478_u1423771_fna,"
"22","N06124_LS_s0001598_u0001598_fna",1,"N06124_LS_s0001598_u0001598_fna"
"23","N06536_LS_s0001613_u0001613_fna",18,"N06511_LS_s0001613_u0001613_fna,N06530_LS_s0001613_u0001613_fna,N10829_LS_s0001613_u1381124_fna,N06546_LS_s0001613_u0001613_fna,N06573_LS_s0001613_u0001613_fna,N06556_LS_s0001613_u0001613_fna,N10801_LS_s0001613_u1339267_fna,N06500_LS_s0001613_u0001613_fna,N06554_LS_s0001613_u0001613_fna,N06533_LS_s0001613_u0001613_fna,N06561_LS_s0001613_u0001613_fna,N06553_LS_s0001613_u0001613_fna,N06518_LS_s0001613_u0001613_fna,N06532_LS_s0001613_u0001613_fna,N10788_LS_s0001613_u1318629_fna,N06536_LS_s0001613_u0001613_fna,N06555_LS_s0001613_u0001613_fna,N06565_LS_s0001613_u0001613_fna,"
"24","N06342_LS_s0001598_u0001598_fna",19,"N06336_LS_s0001598_u0001598_fna,N06305_LS_s0001598_u0001598_fna,N06348_LS_s0001598_u0001598_fna,N06344_LS_s0001598_u0001598_fna,N06219_LS_s0001598_u0001598_fna,N10157_LS_s0001598_u0927703_fna,N06343_LS_s0001598_u0001598_fna,N06356_LS_s0001598_u0001598_fna,N06147_LS_s0001598_u0001598_fna,N06355_LS_s0001598_u0001598_fna,N06358_LS_s0001598_u0001598_fna,N06222_LS_s0001598_u0001598_fna,N06132_LS_s0001598_u0001598_fna,N06337_LS_s0001598_u0001598_fna,N06153_LS_s0001598_u0001598_fna,N06146_LS_s0001598_u0001598_fna,N06409_LS_s0001598_u0001598_fna,N06342_LS_s0001598_u0001598_fna,N06287_LS_s0001598_u0001598_fna,"
"25","N06253_LS_s0001598_u0001598_fna",2,"N06254_LS_s0001598_u0001598_fna,N06253_LS_s0001598_u0001598_fna,"
"26","N06303_LS_s0001598_u0001598_fna",3,"N06303_LS_s0001598_u0001598_fna,N06302_LS_s0001598_u0001598_fna,N10802_LS_s0001598_u1340495_fna,"
"27","N08390_LS_s0097478_u0097478_fna",3,"N08388_LS_s0097478_u0097478_fna,N08390_LS_s0097478_u0097478_fna,N08389_LS_s0097478_u0097478_fna,"
"28","N06249_LS_s0001598_u0001598_fna",1,"N06249_LS_s0001598_u0001598_fna"
"29","N06217_LS_s0001598_u0001598_fna",2,"N06218_LS_s0001598_u0001598_fna,N06217_LS_s0001598_u0001598_fna,"
"30","N09252_LS_s2759855_u2759855_fna",6,"N09253_LS_s2759855_u2759855_fna,N09256_LS_s2759855_u2759855_fna,N09254_LS_s2759855_u2759855_fna,N09255_LS_s2759855_u2759855_fna,N09257_LS_s2759855_u2759855_fna,N09252_LS_s2759855_u2759855_fna,"
"31","N06272_LS_s0001598_u0001598_fna",1,"N06272_LS_s0001598_u0001598_fna"
"32","N06551_LS_s0001613_u0001613_fna",1,"N06551_LS_s0001613_u0001613_fna"
"33","N10958_LS_s0001632_u1423779_fna",2,"N06853_LS_s0001632_u0001632_fna,N10958_LS_s0001632_u1423779_fna,"
"34","N06569_LS_s0001613_u0001613_fna",3,"N06567_LS_s0001613_u0001613_fna,N06495_LS_s0001613_u0001613_fna,N06569_LS_s0001613_u0001613_fna,"
"35","N06243_LS_s0001598_u0001598_fna",1,"N06243_LS_s0001598_u0001598_fna"
"36","N06238_LS_s0001598_u0001598_fna",2,"N06236_LS_s0001598_u0001598_fna,N06238_LS_s0001598_u0001598_fna,"
"37","N06498_LS_s0001613_u0001613_fna",1,"N06498_LS_s0001613_u0001613_fna"
"38","N06177_LS_s0001598_u0001598_fna",12,"N06187_LS_s0001598_u0001598_fna,N06171_LS_s0001598_u0001598_fna,N06189_LS_s0001598_u0001598_fna,N06166_LS_s0001598_u0001598_fna,N06177_LS_s0001598_u0001598_fna,N06190_LS_s0001598_u0001598_fna,N06174_LS_s0001598_u0001598_fna,N06172_LS_s0001598_u0001598_fna,N06176_LS_s0001598_u0001598_fna,N06167_LS_s0001598_u0001598_fna,N06188_LS_s0001598_u0001598_fna,N06178_LS_s0001598_u0001598_fna,"
"39","N10815_LS_s0001598_u1358027_fna",1,"N10815_LS_s0001598_u1358027_fna"
"40","N06282_LS_s0001598_u0001598_fna",6,"N06281_LS_s0001598_u0001598_fna,N06286_LS_s0001598_u0001598_fna,N06282_LS_s0001598_u0001598_fna,N06280_LS_s0001598_u0001598_fna,N06284_LS_s0001598_u0001598_fna,N06285_LS_s0001598_u0001598_fna,"
