neptune seq length/score graph by kmer
k = 10
,length,score

k = 13
,length,score

k = 16
,length,score
0.6,0.9862,157
0.222,0.9862,69
2.44,0.9826,157
1.125,0.9821,79
4.350,0.9808,84
0.310,0.9805,82
5.23,0.9769,65
3.15,0.9754,67
5.14,0.9736,79
3.83,0.9734,69
2.195,0.9687,72
1.350,0.9686,86
3.44,0.9683,71
5.18,0.9658,95
4.370,0.9628,117
0.134,0.9596,66
2.140,0.9593,66
2.323,0.9582,79
2.280,0.9576,64
1.129,0.9556,65
1.397,0.9544,137
4.48,0.9540,88
2.315,0.9533,66
0.311,0.9529,87
3.18,0.9528,66
0.186,0.9519,77
5.70,0.9500,73
0.364,0.9493,70
5.6,0.9490,64
0.353,0.9479,96
0.131,0.9468,78
0.414,0.9468,72
5.183,0.9461,102
3.19,0.9447,122
5.271,0.9417,84
1.10,0.9409,82
5.73,0.9408,74
1.14,0.9401,86
3.407,0.9387,65
0.137,0.9384,99
2.35,0.9382,83
3.345,0.9368,86
3.356,0.9350,108
0.190,0.9341,130
0.388,0.9330,142
2.212,0.9311,98
2.307,0.9310,134
5.45,0.9306,73
5.336,0.9304,79
3.359,0.9303,72
4.138,0.9289,97
2.281,0.9283,80
5.171,0.9278,72
3.13,0.9269,67
3.48,0.9268,69
0.30,0.9258,66
0.31,0.9248,72
3.238,0.9238,115
5.269,0.9232,69
3.339,0.9228,125
4.304,0.9224,76
3.40,0.9209,107
5.272,0.9208,105
1.277,0.9184,223
1.159,0.9177,110
5.431,0.9167,70
4.305,0.9161,149
3.186,0.9130,77
2.26,0.9128,86
3.104,0.9125,105
2.324,0.9123,87
4.335,0.9120,117
0.234,0.9112,91
2.247,0.9097,126
1.320,0.9097,77
3.340,0.9092,65
4.401,0.9087,67
2.137,0.9083,84
5.197,0.9081,99
0.420,0.9080,67
2.308,0.9062,97
0.360,0.9059,71
1.161,0.9058,106
0.44,0.9053,76
2.139,0.9052,153
3.163,0.9041,69
2.322,0.9035,105
0.124,0.9000,70
5.246,0.8993,76
2.62,0.8993,72
5.404,0.8981,87
3.43,0.8972,90
2.170,0.8952,66
5.143,0.8952,87
5.198,0.8951,122
3.87,0.8948,115
3.170,0.8946,258
2.270,0.8944,69
2.163,0.8939,90
1.239,0.8935,69
1.193,0.8921,76
3.49,0.8921,65
