"","repgenome","leng","LTgroup"
"1","N05065_LB_s0001584_u0001584_fna",3,"N05053_LB_s0001584_u0001584_fna,N05065_LB_s0001584_u0001584_fna,N05057_LB_s0001584_u0001584_fna,"
"2","N10949_LB_s0109790_u1423762_fna",48,"N10062_LB_s0109790_u0575607_fna,N08437_LB_s0109790_u0109790_fna,N08432_LB_s0109790_u0109790_fna,N08409_LB_s0109790_u0109790_fna,N08403_LB_s0109790_u0109790_fna,N08418_LB_s0109790_u0109790_fna,N08435_LB_s0109790_u0109790_fna,N08402_LB_s0109790_u0109790_fna,N10992_LB_s0109790_u1434654_fna,N10991_LB_s0109790_u1434653_fna,N08438_LB_s0109790_u0109790_fna,N08406_LB_s0109790_u0109790_fna,N08400_LB_s0109790_u0109790_fna,N08423_LB_s0109790_u0109790_fna,N08440_LB_s0109790_u0109790_fna,N08442_LB_s0109790_u0109790_fna,N08407_LB_s0109790_u0109790_fna,N08441_LB_s0109790_u0109790_fna,N08413_LB_s0109790_u0109790_fna,N08444_LB_s0109790_u0109790_fna,N08414_LB_s0109790_u0109790_fna,N08422_LB_s0109790_u0109790_fna,N08399_LB_s0109790_u0109790_fna,N08439_LB_s0109790_u0109790_fna,N08429_LB_s0109790_u0109790_fna,N08397_LB_s0109790_u0109790_fna,N08419_LB_s0109790_u0109790_fna,N08420_LB_s0109790_u0109790_fna,N10068_LB_s0109790_u0596325_fna,N08408_LB_s0109790_u0109790_fna,N08443_LB_s0109790_u0109790_fna,N08431_LB_s0109790_u0109790_fna,N08427_LB_s0109790_u0109790_fna,N08430_LB_s0109790_u0109790_fna,N08428_LB_s0109790_u0109790_fna,N10949_LB_s0109790_u1423762_fna,N08398_LB_s0109790_u0109790_fna,N08425_LB_s0109790_u0109790_fna,N08404_LB_s0109790_u0109790_fna,N08433_LB_s0109790_u0109790_fna,N08426_LB_s0109790_u0109790_fna,N08421_LB_s0109790_u0109790_fna,N08434_LB_s0109790_u0109790_fna,N08424_LB_s0109790_u0109790_fna,N08436_LB_s0109790_u0109790_fna,N08412_LB_s0109790_u0109790_fna,N08411_LB_s0109790_u0109790_fna,N08401_LB_s0109790_u0109790_fna,"
"3","N05929_LB_s0001596_u0001596_fna",5,"N05946_LB_s0001596_u0001596_fna,N05929_LB_s0001596_u0001596_fna,N09129_LB_s2107999_u2107999_fna,N09121_LB_s2107999_u2107999_fna,N09127_LB_s2107999_u2107999_fna,"
"4","N08143_LB_s0047770_u0047770_fna",126,"N08115_LB_s0047770_u0047770_fna,N07944_LB_s0047770_u0047770_fna,N07972_LB_s0047770_u0047770_fna,N08027_LB_s0047770_u0047770_fna,N08029_LB_s0047770_u0047770_fna,N08091_LB_s0047770_u0047770_fna,N07953_LB_s0047770_u0047770_fna,N08001_LB_s0047770_u0047770_fna,N08048_LB_s0047770_u0047770_fna,N08047_LB_s0047770_u0047770_fna,N07954_LB_s0047770_u0047770_fna,N08084_LB_s0047770_u0047770_fna,N08118_LB_s0047770_u0047770_fna,N07915_LB_s0047770_u0047770_fna,N08090_LB_s0047770_u0047770_fna,N07949_LB_s0047770_u0047770_fna,N07988_LB_s0047770_u0047770_fna,N07884_LB_s0047770_u0047770_fna,N08039_LB_s0047770_u0047770_fna,N08067_LB_s0047770_u0047770_fna,N08060_LB_s0047770_u0047770_fna,N08012_LB_s0047770_u0047770_fna,N07926_LB_s0047770_u0047770_fna,N08066_LB_s0047770_u0047770_fna,N07916_LB_s0047770_u0047770_fna,N08142_LB_s0047770_u0047770_fna,N08042_LB_s0047770_u0047770_fna,N08087_LB_s0047770_u0047770_fna,N08053_LB_s0047770_u0047770_fna,N07879_LB_s0047770_u0047770_fna,N07978_LB_s0047770_u0047770_fna,N08055_LB_s0047770_u0047770_fna,N07936_LB_s0047770_u0047770_fna,N07882_LB_s0047770_u0047770_fna,N07935_LB_s0047770_u0047770_fna,N08002_LB_s0047770_u0047770_fna,N08085_LB_s0047770_u0047770_fna,N08025_LB_s0047770_u0047770_fna,N08095_LB_s0047770_u0047770_fna,N07948_LB_s0047770_u0047770_fna,N07937_LB_s0047770_u0047770_fna,N08030_LB_s0047770_u0047770_fna,N08121_LB_s0047770_u0047770_fna,N09945_LB_s0047770_u0440496_fna,N07990_LB_s0047770_u0047770_fna,N08094_LB_s0047770_u0047770_fna,N07880_LB_s0047770_u0047770_fna,N08145_LB_s0047770_u0047770_fna,N07997_LB_s0047770_u0047770_fna,N07923_LB_s0047770_u0047770_fna,N08052_LB_s0047770_u0047770_fna,N08040_LB_s0047770_u0047770_fna,N08061_LB_s0047770_u0047770_fna,N08056_LB_s0047770_u0047770_fna,N08022_LB_s0047770_u0047770_fna,N07945_LB_s0047770_u0047770_fna,N07927_LB_s0047770_u0047770_fna,N08069_LB_s0047770_u0047770_fna,N07943_LB_s0047770_u0047770_fna,N07942_LB_s0047770_u0047770_fna,N08117_LB_s0047770_u0047770_fna,N08003_LB_s0047770_u0047770_fna,N08024_LB_s0047770_u0047770_fna,N08008_LB_s0047770_u0047770_fna,N08074_LB_s0047770_u0047770_fna,N08071_LB_s0047770_u0047770_fna,N08092_LB_s0047770_u0047770_fna,N10146_LB_s0047770_u0883092_fna,N07939_LB_s0047770_u0047770_fna,N07931_LB_s0047770_u0047770_fna,N08045_LB_s0047770_u0047770_fna,N08046_LB_s0047770_u0047770_fna,N08057_LB_s0047770_u0047770_fna,N07938_LB_s0047770_u0047770_fna,N08028_LB_s0047770_u0047770_fna,N07929_LB_s0047770_u0047770_fna,N08026_LB_s0047770_u0047770_fna,N08077_LB_s0047770_u0047770_fna,N08097_LB_s0047770_u0047770_fna,N07933_LB_s0047770_u0047770_fna,N08143_LB_s0047770_u0047770_fna,N07940_LB_s0047770_u0047770_fna,N08049_LB_s0047770_u0047770_fna,N10147_LB_s0047770_u0883094_fna,N08102_LB_s0047770_u0047770_fna,N08081_LB_s0047770_u0047770_fna,N10056_LB_s0047770_u0575598_fna,N08073_LB_s0047770_u0047770_fna,N08068_LB_s0047770_u0047770_fna,N08044_LB_s0047770_u0047770_fna,N08043_LB_s0047770_u0047770_fna,N07883_LB_s0047770_u0047770_fna,N08100_LB_s0047770_u0047770_fna,N07934_LB_s0047770_u0047770_fna,N08086_LB_s0047770_u0047770_fna,N07928_LB_s0047770_u0047770_fna,N08058_LB_s0047770_u0047770_fna,N07932_LB_s0047770_u0047770_fna,N08119_LB_s0047770_u0047770_fna,N08093_LB_s0047770_u0047770_fna,N08031_LB_s0047770_u0047770_fna,N08054_LB_s0047770_u0047770_fna,N08101_LB_s0047770_u0047770_fna,N08065_LB_s0047770_u0047770_fna,N07986_LB_s0047770_u0047770_fna,N08116_LB_s0047770_u0047770_fna,N08000_LB_s0047770_u0047770_fna,N07946_LB_s0047770_u0047770_fna,N07950_LB_s0047770_u0047770_fna,N08076_LB_s0047770_u0047770_fna,N07987_LB_s0047770_u0047770_fna,N08010_LB_s0047770_u0047770_fna,N07930_LB_s0047770_u0047770_fna,N08059_LB_s0047770_u0047770_fna,N08134_LB_s0047770_u0047770_fna,N08051_LB_s0047770_u0047770_fna,N08096_LB_s0047770_u0047770_fna,N08032_LB_s0047770_u0047770_fna,N08144_LB_s0047770_u0047770_fna,N10828_LB_s0047770_u1381118_fna,N08088_LB_s0047770_u0047770_fna,N07974_LB_s0047770_u0047770_fna,N08146_LB_s0047770_u0047770_fna,N07999_LB_s0047770_u0047770_fna,N08075_LB_s0047770_u0047770_fna,N07947_LB_s0047770_u0047770_fna,"
"5","N09955_LB_s0047770_u0491076_fna",44,"N10054_LB_s0047770_u0575596_fna,N10055_LB_s0047770_u0575597_fna,N08018_LB_s0047770_u0047770_fna,N09955_LB_s0047770_u0491076_fna,N08064_LB_s0047770_u0047770_fna,N08037_LB_s0047770_u0047770_fna,N08089_LB_s0047770_u0047770_fna,N07922_LB_s0047770_u0047770_fna,N07924_LB_s0047770_u0047770_fna,N08016_LB_s0047770_u0047770_fna,N07941_LB_s0047770_u0047770_fna,N07921_LB_s0047770_u0047770_fna,N08062_LB_s0047770_u0047770_fna,N08005_LB_s0047770_u0047770_fna,N08098_LB_s0047770_u0047770_fna,N08033_LB_s0047770_u0047770_fna,N08083_LB_s0047770_u0047770_fna,N08019_LB_s0047770_u0047770_fna,N07952_LB_s0047770_u0047770_fna,N08132_LB_s0047770_u0047770_fna,N08017_LB_s0047770_u0047770_fna,N07881_LB_s0047770_u0047770_fna,N08041_LB_s0047770_u0047770_fna,N08034_LB_s0047770_u0047770_fna,N08141_LB_s0047770_u0047770_fna,N08072_LB_s0047770_u0047770_fna,N08099_LB_s0047770_u0047770_fna,N08050_LB_s0047770_u0047770_fna,N07885_LB_s0047770_u0047770_fna,N08036_LB_s0047770_u0047770_fna,N08078_LB_s0047770_u0047770_fna,N08080_LB_s0047770_u0047770_fna,N07878_LB_s0047770_u0047770_fna,N08079_LB_s0047770_u0047770_fna,N07951_LB_s0047770_u0047770_fna,N08082_LB_s0047770_u0047770_fna,N07977_LB_s0047770_u0047770_fna,N08063_LB_s0047770_u0047770_fna,N07989_LB_s0047770_u0047770_fna,N08023_LB_s0047770_u0047770_fna,N08035_LB_s0047770_u0047770_fna,N08038_LB_s0047770_u0047770_fna,N08004_LB_s0047770_u0047770_fna,N08133_LB_s0047770_u0047770_fna,"
"6","N05099_LB_s0001587_u0001587_fna",18,"N05099_LB_s0001587_u0001587_fna,N05095_LB_s0001587_u0001587_fna,N05103_LB_s0001587_u0001587_fna,N05086_LB_s0001587_u0001587_fna,N05101_LB_s0001587_u0001587_fna,N05100_LB_s0001587_u0001587_fna,N05106_LB_s0001587_u0001587_fna,N09939_LB_s0001587_u0405566_fna,N05105_LB_s0001587_u0001587_fna,N10714_LB_s0001587_u1226334_fna,N05098_LB_s0001587_u0001587_fna,N05085_LB_s0001587_u0001587_fna,N05174_LB_s0001587_u0001587_fna,N05149_LB_s0001587_u0001587_fna,N05082_LB_s0001587_u0001587_fna,N05172_LB_s0001587_u0001587_fna,N05094_LB_s0001587_u0001587_fna,N05104_LB_s0001587_u0001587_fna,"
"7","N05133_LB_s0001587_u0001587_fna",9,"N05136_LB_s0001587_u0001587_fna,N05130_LB_s0001587_u0001587_fna,N05133_LB_s0001587_u0001587_fna,N05128_LB_s0001587_u0001587_fna,N05129_LB_s0001587_u0001587_fna,N10124_LB_s0001587_u0767456_fna,N05131_LB_s0001587_u0001587_fna,N05135_LB_s0001587_u0001587_fna,N05134_LB_s0001587_u0001587_fna,"
"8","N05947_LB_s0001596_u0001596_fna",10,"N05947_LB_s0001596_u0001596_fna,N05914_LB_s0001596_u0001596_fna,N09115_LB_s2107999_u2107999_fna,N09122_LB_s2107999_u2107999_fna,N11201_LB_s2690380_u2690380_fna,N10799_LB_s2107999_u1334627_fna,N05907_LB_s0001596_u0001596_fna,N05932_LB_s0001596_u0001596_fna,N05925_LB_s0001596_u0001596_fna,N05904_LB_s0001596_u0001596_fna,"
"9","N10066_LB_s0083683_u0585524_fna",5,"N08378_LB_s0083683_u0083683_fna,N10067_LB_s0083683_u0585524_fna,N08377_LB_s0083683_u0083683_fna,N10066_LB_s0083683_u0585524_fna,N08376_LB_s0083683_u0083683_fna,"
"10","N08502_LB_s0147802_u0147802_fna",3,"N08471_LB_s0147802_u0147802_fna,N08503_LB_s0147802_u0147802_fna,N08502_LB_s0147802_u0147802_fna,"
"11","N09744_LB_s0001584_u0029397_fna",14,"N09706_LB_s0001584_u0029397_fna,N09748_LB_s0001584_u0029397_fna,N09746_LB_s0001584_u0029397_fna,N09742_LB_s0001584_u0029397_fna,N09762_LB_s0001584_u0029397_fna,N09757_LB_s0001584_u0029397_fna,N09744_LB_s0001584_u0029397_fna,N09763_LB_s0001584_u0029397_fna,N09743_LB_s0001584_u0029397_fna,N09734_LB_s0001584_u0029397_fna,N09703_LB_s0001584_u0029397_fna,N09736_LB_s0001584_u0029397_fna,N09760_LB_s0001584_u0029397_fna,N09701_LB_s0001584_u0029397_fna,"
"12","N09739_LB_s0001584_u0029397_fna",2,"N09740_LB_s0001584_u0029397_fna,N09739_LB_s0001584_u0029397_fna,"
"13","N05199_LB_s0001587_u0001587_fna",2,"N05200_LB_s0001587_u0001587_fna,N05199_LB_s0001587_u0001587_fna,"
"14","N09356_LB_s0001584_u0001585_fna",3,"N09356_LB_s0001584_u0001585_fna,N09380_LB_s0001584_u0001585_fna,N11379_LB_s0001584_u1042399_fna,"
"15","N05157_LB_s0001587_u0001587_fna",32,"N05141_LB_s0001587_u0001587_fna,N05156_LB_s0001587_u0001587_fna,N05125_LB_s0001587_u0001587_fna,N05137_LB_s0001587_u0001587_fna,N05160_LB_s0001587_u0001587_fna,N05153_LB_s0001587_u0001587_fna,N05140_LB_s0001587_u0001587_fna,N05127_LB_s0001587_u0001587_fna,N05126_LB_s0001587_u0001587_fna,N05175_LB_s0001587_u0001587_fna,N05143_LB_s0001587_u0001587_fna,N05157_LB_s0001587_u0001587_fna,N05151_LB_s0001587_u0001587_fna,N05124_LB_s0001587_u0001587_fna,N05173_LB_s0001587_u0001587_fna,N05123_LB_s0001587_u0001587_fna,N05142_LB_s0001587_u0001587_fna,N05148_LB_s0001587_u0001587_fna,N05181_LB_s0001587_u0001587_fna,N10715_LB_s0001587_u1226335_fna,N05176_LB_s0001587_u0001587_fna,N05177_LB_s0001587_u0001587_fna,N05138_LB_s0001587_u0001587_fna,N05077_LB_s0001587_u0001587_fna,N05178_LB_s0001587_u0001587_fna,N05161_LB_s0001587_u0001587_fna,N05159_LB_s0001587_u0001587_fna,N05179_LB_s0001587_u0001587_fna,N05152_LB_s0001587_u0001587_fna,N10125_LB_s0001587_u0767462_fna,N05139_LB_s0001587_u0001587_fna,N05146_LB_s0001587_u0001587_fna,"
