"","repgenome","leng","LTgroup"
"1","N06810_LG_s0001624_u0001624_fna",14,"N06749_LG_s0001624_u0001624_fna,N06811_LG_s0001624_u0001624_fna,N06802_LG_s0001624_u0001624_fna,N06755_LG_s0001624_u0001624_fna,N06779_LG_s0001624_u0001624_fna,N06778_LG_s0001624_u0001624_fna,N06747_LG_s0001624_u0001624_fna,N06748_LG_s0001624_u0001624_fna,N06746_LG_s0001624_u0001624_fna,N06760_LG_s0001624_u0001624_fna,N06752_LG_s0001624_u0001624_fna,N06783_LG_s0001624_u0001624_fna,N06810_LG_s0001624_u0001624_fna,N06776_LG_s0001624_u0001624_fna,"
"2","N06594_LG_s0001622_u0001622_fna",26,"N06603_LG_s0001622_u0001622_fna,N06593_LG_s0001622_u0001622_fna,N06610_LG_s0001622_u0001622_fna,N06609_LG_s0001622_u0001622_fna,N06599_LG_s0001622_u0001622_fna,N06594_LG_s0001622_u0001622_fna,N06613_LG_s0001622_u0001622_fna,N06605_LG_s0001622_u0001622_fna,N06596_LG_s0001622_u0001622_fna,N06616_LG_s0001622_u0001622_fna,N06607_LG_s0001622_u0001622_fna,N06604_LG_s0001622_u0001622_fna,N06612_LG_s0001622_u0001622_fna,N06615_LG_s0001622_u0001622_fna,N06595_LG_s0001622_u0001622_fna,N06618_LG_s0001622_u0001622_fna,N06597_LG_s0001622_u0001622_fna,N06608_LG_s0001622_u0001622_fna,N06602_LG_s0001622_u0001622_fna,N06611_LG_s0001622_u0001622_fna,N06600_LG_s0001622_u0001622_fna,N06598_LG_s0001622_u0001622_fna,N06614_LG_s0001622_u0001622_fna,N06617_LG_s0001622_u0001622_fna,N06606_LG_s0001622_u0001622_fna,N06601_LG_s0001622_u0001622_fna,N06749_LG_s0001624_u0001624_fna,N06811_LG_s0001624_u0001624_fna,N06802_LG_s0001624_u0001624_fna,N06755_LG_s0001624_u0001624_fna,N06779_LG_s0001624_u0001624_fna,N06778_LG_s0001624_u0001624_fna,N06747_LG_s0001624_u0001624_fna,N06748_LG_s0001624_u0001624_fna,N06746_LG_s0001624_u0001624_fna,N06760_LG_s0001624_u0001624_fna,N06752_LG_s0001624_u0001624_fna,N06783_LG_s0001624_u0001624_fna,N06810_LG_s0001624_u0001624_fna,N06776_LG_s0001624_u0001624_fna,"
"3","N06818_LG_s0001624_u0001624_fna",12,"N10974_LG_s0001624_u1423799_fna,N06687_LG_s0001624_u0001624_fna,N06836_LG_s0001624_u0001624_fna,N06818_LG_s0001624_u0001624_fna,N06831_LG_s0001624_u0001624_fna,N06732_LG_s0001624_u0001624_fna,N06728_LG_s0001624_u0001624_fna,N06731_LG_s0001624_u0001624_fna,N06734_LG_s0001624_u0001624_fna,N06733_LG_s0001624_u0001624_fna,N06686_LG_s0001624_u0001624_fna,N10975_LG_s0001624_u1423799_fna,N06603_LG_s0001622_u0001622_fna,N06593_LG_s0001622_u0001622_fna,N06610_LG_s0001622_u0001622_fna,N06609_LG_s0001622_u0001622_fna,N06599_LG_s0001622_u0001622_fna,N06594_LG_s0001622_u0001622_fna,N06613_LG_s0001622_u0001622_fna,N06605_LG_s0001622_u0001622_fna,N06596_LG_s0001622_u0001622_fna,N06616_LG_s0001622_u0001622_fna,N06607_LG_s0001622_u0001622_fna,N06604_LG_s0001622_u0001622_fna,N06612_LG_s0001622_u0001622_fna,N06615_LG_s0001622_u0001622_fna,N06595_LG_s0001622_u0001622_fna,N06618_LG_s0001622_u0001622_fna,N06597_LG_s0001622_u0001622_fna,N06608_LG_s0001622_u0001622_fna,N06602_LG_s0001622_u0001622_fna,N06611_LG_s0001622_u0001622_fna,N06600_LG_s0001622_u0001622_fna,N06598_LG_s0001622_u0001622_fna,N06614_LG_s0001622_u0001622_fna,N06617_LG_s0001622_u0001622_fna,N06606_LG_s0001622_u0001622_fna,N06601_LG_s0001622_u0001622_fna,N06749_LG_s0001624_u0001624_fna,N06811_LG_s0001624_u0001624_fna,N06802_LG_s0001624_u0001624_fna,N06755_LG_s0001624_u0001624_fna,N06779_LG_s0001624_u0001624_fna,N06778_LG_s0001624_u0001624_fna,N06747_LG_s0001624_u0001624_fna,N06748_LG_s0001624_u0001624_fna,N06746_LG_s0001624_u0001624_fna,N06760_LG_s0001624_u0001624_fna,N06752_LG_s0001624_u0001624_fna,N06783_LG_s0001624_u0001624_fna,N06810_LG_s0001624_u0001624_fna,N06776_LG_s0001624_u0001624_fna,"
"4","N06619_LG_s0001622_u0001622_fna",7,"N06592_LG_s0001622_u0001622_fna,N06585_LG_s0001622_u0001622_fna,N06620_LG_s0001622_u0001622_fna,N06591_LG_s0001622_u0001622_fna,N06586_LG_s0001622_u0001622_fna,N06619_LG_s0001622_u0001622_fna,N10725_LG_s0001622_u1235801_fna,N10974_LG_s0001624_u1423799_fna,N06687_LG_s0001624_u0001624_fna,N06836_LG_s0001624_u0001624_fna,N06818_LG_s0001624_u0001624_fna,N06831_LG_s0001624_u0001624_fna,N06732_LG_s0001624_u0001624_fna,N06728_LG_s0001624_u0001624_fna,N06731_LG_s0001624_u0001624_fna,N06734_LG_s0001624_u0001624_fna,N06733_LG_s0001624_u0001624_fna,N06686_LG_s0001624_u0001624_fna,N10975_LG_s0001624_u1423799_fna,N06603_LG_s0001622_u0001622_fna,N06593_LG_s0001622_u0001622_fna,N06610_LG_s0001622_u0001622_fna,N06609_LG_s0001622_u0001622_fna,N06599_LG_s0001622_u0001622_fna,N06594_LG_s0001622_u0001622_fna,N06613_LG_s0001622_u0001622_fna,N06605_LG_s0001622_u0001622_fna,N06596_LG_s0001622_u0001622_fna,N06616_LG_s0001622_u0001622_fna,N06607_LG_s0001622_u0001622_fna,N06604_LG_s0001622_u0001622_fna,N06612_LG_s0001622_u0001622_fna,N06615_LG_s0001622_u0001622_fna,N06595_LG_s0001622_u0001622_fna,N06618_LG_s0001622_u0001622_fna,N06597_LG_s0001622_u0001622_fna,N06608_LG_s0001622_u0001622_fna,N06602_LG_s0001622_u0001622_fna,N06611_LG_s0001622_u0001622_fna,N06600_LG_s0001622_u0001622_fna,N06598_LG_s0001622_u0001622_fna,N06614_LG_s0001622_u0001622_fna,N06617_LG_s0001622_u0001622_fna,N06606_LG_s0001622_u0001622_fna,N06601_LG_s0001622_u0001622_fna,N06749_LG_s0001624_u0001624_fna,N06811_LG_s0001624_u0001624_fna,N06802_LG_s0001624_u0001624_fna,N06755_LG_s0001624_u0001624_fna,N06779_LG_s0001624_u0001624_fna,N06778_LG_s0001624_u0001624_fna,N06747_LG_s0001624_u0001624_fna,N06748_LG_s0001624_u0001624_fna,N06746_LG_s0001624_u0001624_fna,N06760_LG_s0001624_u0001624_fna,N06752_LG_s0001624_u0001624_fna,N06783_LG_s0001624_u0001624_fna,N06810_LG_s0001624_u0001624_fna,N06776_LG_s0001624_u0001624_fna,"
"5","N06784_LG_s0001624_u0001624_fna",45,"N06813_LG_s0001624_u0001624_fna,N06738_LG_s0001624_u0001624_fna,N06767_LG_s0001624_u0001624_fna,N06744_LG_s0001624_u0001624_fna,N06805_LG_s0001624_u0001624_fna,N06762_LG_s0001624_u0001624_fna,N06812_LG_s0001624_u0001624_fna,N06814_LG_s0001624_u0001624_fna,N06745_LG_s0001624_u0001624_fna,N06848_LG_s0001624_u0001624_fna,N06788_LG_s0001624_u0001624_fna,N06772_LG_s0001624_u0001624_fna,N06766_LG_s0001624_u0001624_fna,N06750_LG_s0001624_u0001624_fna,N06801_LG_s0001624_u0001624_fna,N06797_LG_s0001624_u0001624_fna,N06795_LG_s0001624_u0001624_fna,N06799_LG_s0001624_u0001624_fna,N06758_LG_s0001624_u0001624_fna,N06781_LG_s0001624_u0001624_fna,N06753_LG_s0001624_u0001624_fna,N06793_LG_s0001624_u0001624_fna,N06785_LG_s0001624_u0001624_fna,N06796_LG_s0001624_u0001624_fna,N06834_LG_s0001624_u0001624_fna,N06743_LG_s0001624_u0001624_fna,N06839_LG_s0001624_u0001624_fna,N06768_LG_s0001624_u0001624_fna,N06769_LG_s0001624_u0001624_fna,N06800_LG_s0001624_u0001624_fna,N06815_LG_s0001624_u0001624_fna,N06808_LG_s0001624_u0001624_fna,N06809_LG_s0001624_u0001624_fna,N06782_LG_s0001624_u0001624_fna,N06754_LG_s0001624_u0001624_fna,N06695_LG_s0001624_u0001624_fna,N06786_LG_s0001624_u0001624_fna,N06773_LG_s0001624_u0001624_fna,N06777_LG_s0001624_u0001624_fna,N06757_LG_s0001624_u0001624_fna,N06761_LG_s0001624_u0001624_fna,N06798_LG_s0001624_u0001624_fna,N06792_LG_s0001624_u0001624_fna,N06756_LG_s0001624_u0001624_fna,N06784_LG_s0001624_u0001624_fna,N06592_LG_s0001622_u0001622_fna,N06585_LG_s0001622_u0001622_fna,N06620_LG_s0001622_u0001622_fna,N06591_LG_s0001622_u0001622_fna,N06586_LG_s0001622_u0001622_fna,N06619_LG_s0001622_u0001622_fna,N10725_LG_s0001622_u1235801_fna,N10974_LG_s0001624_u1423799_fna,N06687_LG_s0001624_u0001624_fna,N06836_LG_s0001624_u0001624_fna,N06818_LG_s0001624_u0001624_fna,N06831_LG_s0001624_u0001624_fna,N06732_LG_s0001624_u0001624_fna,N06728_LG_s0001624_u0001624_fna,N06731_LG_s0001624_u0001624_fna,N06734_LG_s0001624_u0001624_fna,N06733_LG_s0001624_u0001624_fna,N06686_LG_s0001624_u0001624_fna,N10975_LG_s0001624_u1423799_fna,N06603_LG_s0001622_u0001622_fna,N06593_LG_s0001622_u0001622_fna,N06610_LG_s0001622_u0001622_fna,N06609_LG_s0001622_u0001622_fna,N06599_LG_s0001622_u0001622_fna,N06594_LG_s0001622_u0001622_fna,N06613_LG_s0001622_u0001622_fna,N06605_LG_s0001622_u0001622_fna,N06596_LG_s0001622_u0001622_fna,N06616_LG_s0001622_u0001622_fna,N06607_LG_s0001622_u0001622_fna,N06604_LG_s0001622_u0001622_fna,N06612_LG_s0001622_u0001622_fna,N06615_LG_s0001622_u0001622_fna,N06595_LG_s0001622_u0001622_fna,N06618_LG_s0001622_u0001622_fna,N06597_LG_s0001622_u0001622_fna,N06608_LG_s0001622_u0001622_fna,N06602_LG_s0001622_u0001622_fna,N06611_LG_s0001622_u0001622_fna,N06600_LG_s0001622_u0001622_fna,N06598_LG_s0001622_u0001622_fna,N06614_LG_s0001622_u0001622_fna,N06617_LG_s0001622_u0001622_fna,N06606_LG_s0001622_u0001622_fna,N06601_LG_s0001622_u0001622_fna,N06749_LG_s0001624_u0001624_fna,N06811_LG_s0001624_u0001624_fna,N06802_LG_s0001624_u0001624_fna,N06755_LG_s0001624_u0001624_fna,N06779_LG_s0001624_u0001624_fna,N06778_LG_s0001624_u0001624_fna,N06747_LG_s0001624_u0001624_fna,N06748_LG_s0001624_u0001624_fna,N06746_LG_s0001624_u0001624_fna,N06760_LG_s0001624_u0001624_fna,N06752_LG_s0001624_u0001624_fna,N06783_LG_s0001624_u0001624_fna,N06810_LG_s0001624_u0001624_fna,N06776_LG_s0001624_u0001624_fna,"
"6","N06845_LG_s0001624_u0001624_fna",1,"N06845_LG_s0001624_u0001624_fna"
"7","N10972_LG_s0001623_u1423798_fna",5,"N10973_LG_s0001623_u1423798_fna,N10971_LG_s0001623_u1423798_fna,N06631_LG_s0001623_u0001623_fna,N06633_LG_s0001623_u0001623_fna,N10972_LG_s0001623_u1423798_fna,N06845_LG_s0001624_u0001624_fna,N06813_LG_s0001624_u0001624_fna,N06738_LG_s0001624_u0001624_fna,N06767_LG_s0001624_u0001624_fna,N06744_LG_s0001624_u0001624_fna,N06805_LG_s0001624_u0001624_fna,N06762_LG_s0001624_u0001624_fna,N06812_LG_s0001624_u0001624_fna,N06814_LG_s0001624_u0001624_fna,N06745_LG_s0001624_u0001624_fna,N06848_LG_s0001624_u0001624_fna,N06788_LG_s0001624_u0001624_fna,N06772_LG_s0001624_u0001624_fna,N06766_LG_s0001624_u0001624_fna,N06750_LG_s0001624_u0001624_fna,N06801_LG_s0001624_u0001624_fna,N06797_LG_s0001624_u0001624_fna,N06795_LG_s0001624_u0001624_fna,N06799_LG_s0001624_u0001624_fna,N06758_LG_s0001624_u0001624_fna,N06781_LG_s0001624_u0001624_fna,N06753_LG_s0001624_u0001624_fna,N06793_LG_s0001624_u0001624_fna,N06785_LG_s0001624_u0001624_fna,N06796_LG_s0001624_u0001624_fna,N06834_LG_s0001624_u0001624_fna,N06743_LG_s0001624_u0001624_fna,N06839_LG_s0001624_u0001624_fna,N06768_LG_s0001624_u0001624_fna,N06769_LG_s0001624_u0001624_fna,N06800_LG_s0001624_u0001624_fna,N06815_LG_s0001624_u0001624_fna,N06808_LG_s0001624_u0001624_fna,N06809_LG_s0001624_u0001624_fna,N06782_LG_s0001624_u0001624_fna,N06754_LG_s0001624_u0001624_fna,N06695_LG_s0001624_u0001624_fna,N06786_LG_s0001624_u0001624_fna,N06773_LG_s0001624_u0001624_fna,N06777_LG_s0001624_u0001624_fna,N06757_LG_s0001624_u0001624_fna,N06761_LG_s0001624_u0001624_fna,N06798_LG_s0001624_u0001624_fna,N06792_LG_s0001624_u0001624_fna,N06756_LG_s0001624_u0001624_fna,N06784_LG_s0001624_u0001624_fna,N06592_LG_s0001622_u0001622_fna,N06585_LG_s0001622_u0001622_fna,N06620_LG_s0001622_u0001622_fna,N06591_LG_s0001622_u0001622_fna,N06586_LG_s0001622_u0001622_fna,N06619_LG_s0001622_u0001622_fna,N10725_LG_s0001622_u1235801_fna,N10974_LG_s0001624_u1423799_fna,N06687_LG_s0001624_u0001624_fna,N06836_LG_s0001624_u0001624_fna,N06818_LG_s0001624_u0001624_fna,N06831_LG_s0001624_u0001624_fna,N06732_LG_s0001624_u0001624_fna,N06728_LG_s0001624_u0001624_fna,N06731_LG_s0001624_u0001624_fna,N06734_LG_s0001624_u0001624_fna,N06733_LG_s0001624_u0001624_fna,N06686_LG_s0001624_u0001624_fna,N10975_LG_s0001624_u1423799_fna,N06603_LG_s0001622_u0001622_fna,N06593_LG_s0001622_u0001622_fna,N06610_LG_s0001622_u0001622_fna,N06609_LG_s0001622_u0001622_fna,N06599_LG_s0001622_u0001622_fna,N06594_LG_s0001622_u0001622_fna,N06613_LG_s0001622_u0001622_fna,N06605_LG_s0001622_u0001622_fna,N06596_LG_s0001622_u0001622_fna,N06616_LG_s0001622_u0001622_fna,N06607_LG_s0001622_u0001622_fna,N06604_LG_s0001622_u0001622_fna,N06612_LG_s0001622_u0001622_fna,N06615_LG_s0001622_u0001622_fna,N06595_LG_s0001622_u0001622_fna,N06618_LG_s0001622_u0001622_fna,N06597_LG_s0001622_u0001622_fna,N06608_LG_s0001622_u0001622_fna,N06602_LG_s0001622_u0001622_fna,N06611_LG_s0001622_u0001622_fna,N06600_LG_s0001622_u0001622_fna,N06598_LG_s0001622_u0001622_fna,N06614_LG_s0001622_u0001622_fna,N06617_LG_s0001622_u0001622_fna,N06606_LG_s0001622_u0001622_fna,N06601_LG_s0001622_u0001622_fna,N06749_LG_s0001624_u0001624_fna,N06811_LG_s0001624_u0001624_fna,N06802_LG_s0001624_u0001624_fna,N06755_LG_s0001624_u0001624_fna,N06779_LG_s0001624_u0001624_fna,N06778_LG_s0001624_u0001624_fna,N06747_LG_s0001624_u0001624_fna,N06748_LG_s0001624_u0001624_fna,N06746_LG_s0001624_u0001624_fna,N06760_LG_s0001624_u0001624_fna,N06752_LG_s0001624_u0001624_fna,N06783_LG_s0001624_u0001624_fna,N06810_LG_s0001624_u0001624_fna,N06776_LG_s0001624_u0001624_fna,"
"8","N06736_LG_s0001624_u0001624_fna",1,"N06736_LG_s0001624_u0001624_fna"
"9","N06684_LG_s0001624_u0001624_fna",17,"N06804_LG_s0001624_u0001624_fna,N06771_LG_s0001624_u0001624_fna,N06789_LG_s0001624_u0001624_fna,N06794_LG_s0001624_u0001624_fna,N06807_LG_s0001624_u0001624_fna,N06684_LG_s0001624_u0001624_fna,N06791_LG_s0001624_u0001624_fna,N06803_LG_s0001624_u0001624_fna,N06751_LG_s0001624_u0001624_fna,N06696_LG_s0001624_u0001624_fna,N06763_LG_s0001624_u0001624_fna,N06775_LG_s0001624_u0001624_fna,N06770_LG_s0001624_u0001624_fna,N06683_LG_s0001624_u0001624_fna,N06833_LG_s0001624_u0001624_fna,N06677_LG_s0001624_u0001624_fna,N06759_LG_s0001624_u0001624_fna,N06736_LG_s0001624_u0001624_fna,N10973_LG_s0001623_u1423798_fna,N10971_LG_s0001623_u1423798_fna,N06631_LG_s0001623_u0001623_fna,N06633_LG_s0001623_u0001623_fna,N10972_LG_s0001623_u1423798_fna,N06845_LG_s0001624_u0001624_fna,N06813_LG_s0001624_u0001624_fna,N06738_LG_s0001624_u0001624_fna,N06767_LG_s0001624_u0001624_fna,N06744_LG_s0001624_u0001624_fna,N06805_LG_s0001624_u0001624_fna,N06762_LG_s0001624_u0001624_fna,N06812_LG_s0001624_u0001624_fna,N06814_LG_s0001624_u0001624_fna,N06745_LG_s0001624_u0001624_fna,N06848_LG_s0001624_u0001624_fna,N06788_LG_s0001624_u0001624_fna,N06772_LG_s0001624_u0001624_fna,N06766_LG_s0001624_u0001624_fna,N06750_LG_s0001624_u0001624_fna,N06801_LG_s0001624_u0001624_fna,N06797_LG_s0001624_u0001624_fna,N06795_LG_s0001624_u0001624_fna,N06799_LG_s0001624_u0001624_fna,N06758_LG_s0001624_u0001624_fna,N06781_LG_s0001624_u0001624_fna,N06753_LG_s0001624_u0001624_fna,N06793_LG_s0001624_u0001624_fna,N06785_LG_s0001624_u0001624_fna,N06796_LG_s0001624_u0001624_fna,N06834_LG_s0001624_u0001624_fna,N06743_LG_s0001624_u0001624_fna,N06839_LG_s0001624_u0001624_fna,N06768_LG_s0001624_u0001624_fna,N06769_LG_s0001624_u0001624_fna,N06800_LG_s0001624_u0001624_fna,N06815_LG_s0001624_u0001624_fna,N06808_LG_s0001624_u0001624_fna,N06809_LG_s0001624_u0001624_fna,N06782_LG_s0001624_u0001624_fna,N06754_LG_s0001624_u0001624_fna,N06695_LG_s0001624_u0001624_fna,N06786_LG_s0001624_u0001624_fna,N06773_LG_s0001624_u0001624_fna,N06777_LG_s0001624_u0001624_fna,N06757_LG_s0001624_u0001624_fna,N06761_LG_s0001624_u0001624_fna,N06798_LG_s0001624_u0001624_fna,N06792_LG_s0001624_u0001624_fna,N06756_LG_s0001624_u0001624_fna,N06784_LG_s0001624_u0001624_fna,N06592_LG_s0001622_u0001622_fna,N06585_LG_s0001622_u0001622_fna,N06620_LG_s0001622_u0001622_fna,N06591_LG_s0001622_u0001622_fna,N06586_LG_s0001622_u0001622_fna,N06619_LG_s0001622_u0001622_fna,N10725_LG_s0001622_u1235801_fna,N10974_LG_s0001624_u1423799_fna,N06687_LG_s0001624_u0001624_fna,N06836_LG_s0001624_u0001624_fna,N06818_LG_s0001624_u0001624_fna,N06831_LG_s0001624_u0001624_fna,N06732_LG_s0001624_u0001624_fna,N06728_LG_s0001624_u0001624_fna,N06731_LG_s0001624_u0001624_fna,N06734_LG_s0001624_u0001624_fna,N06733_LG_s0001624_u0001624_fna,N06686_LG_s0001624_u0001624_fna,N10975_LG_s0001624_u1423799_fna,N06603_LG_s0001622_u0001622_fna,N06593_LG_s0001622_u0001622_fna,N06610_LG_s0001622_u0001622_fna,N06609_LG_s0001622_u0001622_fna,N06599_LG_s0001622_u0001622_fna,N06594_LG_s0001622_u0001622_fna,N06613_LG_s0001622_u0001622_fna,N06605_LG_s0001622_u0001622_fna,N06596_LG_s0001622_u0001622_fna,N06616_LG_s0001622_u0001622_fna,N06607_LG_s0001622_u0001622_fna,N06604_LG_s0001622_u0001622_fna,N06612_LG_s0001622_u0001622_fna,N06615_LG_s0001622_u0001622_fna,N06595_LG_s0001622_u0001622_fna,N06618_LG_s0001622_u0001622_fna,N06597_LG_s0001622_u0001622_fna,N06608_LG_s0001622_u0001622_fna,N06602_LG_s0001622_u0001622_fna,N06611_LG_s0001622_u0001622_fna,N06600_LG_s0001622_u0001622_fna,N06598_LG_s0001622_u0001622_fna,N06614_LG_s0001622_u0001622_fna,N06617_LG_s0001622_u0001622_fna,N06606_LG_s0001622_u0001622_fna,N06601_LG_s0001622_u0001622_fna,N06749_LG_s0001624_u0001624_fna,N06811_LG_s0001624_u0001624_fna,N06802_LG_s0001624_u0001624_fna,N06755_LG_s0001624_u0001624_fna,N06779_LG_s0001624_u0001624_fna,N06778_LG_s0001624_u0001624_fna,N06747_LG_s0001624_u0001624_fna,N06748_LG_s0001624_u0001624_fna,N06746_LG_s0001624_u0001624_fna,N06760_LG_s0001624_u0001624_fna,N06752_LG_s0001624_u0001624_fna,N06783_LG_s0001624_u0001624_fna,N06810_LG_s0001624_u0001624_fna,N06776_LG_s0001624_u0001624_fna,"
"10","N10895_LG_s0001623_u1402207_fna",1,"N10895_LG_s0001623_u1402207_fna"
